,created_at,Input.tweet1,finer_updated,sentiment_positive,sentiment_negative,sentiment_neutral,toxicity
0,2022-12-11 00:02:36+00:00,"""@109118717467315423 @586937309681172198 we used to have a fella come to our late night hockey games, sit in the stands and knit, one night we asked what he was knitting any why he chose a hockey arena, his response was he enjoyed watching the ladies play, and knitting scarfs and hats for the homeless was his goal. ❤️""",['solutions_interventions'],0.8896976113319397,0.0040870895609259,0.1062153801321983,0.054531995
1,2023-01-15 12:46:08+00:00,"""@1195877653873667817 yes, there are rich people who own companies like tesla, who employ thousands of people who are a plus for our economy. they work, they get paid, they buy houses, cars, groceries, become citizens of law abiding communities, etc. they feel good about themselves. no jobs, homeless.""","['money_aid_resource_allocation', 'solutions_interventions']",0.7576745748519897,0.0278049707412719,0.2145203649997711,0.077668175
2,2022-11-21 18:04:17+00:00,"""@1667299416332779165 @7182462820379853174 @2173513258681622118 @4306094398791077162 bborders were legally open (only need single lane), business closed cuz they were told to (one place tried to stay open &amp; got harassed by police, homeless were fed &amp; the truckers were the ones harassed, egged &amp; called names.""",['deserving_undeserving_of_resources'],0.0082908645272254,0.7613089680671692,0.2304001748561859,0.17545098
3,2022-09-17 17:03:19+00:00,"""@1717370371494728467 considerable damage has already been done
 

 this isnt just for pain medication too bc so many black, brown, trans,, queer poor, disabled (lol), homeless, immigrant, addicts, mentally ill, and beyond (most people in general) domt get believed by doctors and get pawned off""","['harmful_generalization', 'societal_critique']",0.0069141369313001,0.8940129280090332,0.0990729331970214,0.44002727
4,2022-10-21 10:12:54+00:00,"""@1749402491031135549 what about our rights to a secure border!?
 those laws were passed by a democratic process. yet you violate your oath of office and give aid and comfort to those that break our laws.
 use funds to aid them,that could give our citizens m4all!
 look at the homeless in your state!!!""","['government_critique', 'deserving_undeserving_of_resources', 'solutions_interventions', 'money_aid_resource_allocation']",0.013991474173963,0.8205134868621826,0.1654951274394989,0.22980402
5,2022-04-18 16:31:21+00:00,"""@1875231199292011663 @1055631517598716042 now, shall we show the millions of refugees russia created? tens of millions of homeless? yeah. russia staged a photo op where everything is fine while mariupol of half a mil has been destroyed completely by russia. good job on the ethical balance. murderers can be friendly.""",['government_critique'],0.0637959763407707,0.6176039576530457,0.318600058555603,0.3666224
6,2022-10-19 14:21:32+00:00,"""@188526512132382363 @1833121427223535141 shame its impossible for you to share your wealth to those homeless people. even if you wanted to, you can't do it.
 

 oh well.""","['money_aid_resource_allocation', 'societal_critique']",0.0049648187123239,0.9234288930892944,0.0716063156723976,0.1883923
7,2022-01-16 08:06:11+00:00,"""@203034658340412016 the princess was upset because """"homeless people are so messy"""" 
 and i'm blocked now too lol""",['harmful_generalization'],0.005204991903156,0.9132519364356996,0.0815431103110313,0.33338684
8,2023-02-01 18:01:37+00:00,"""@2169853802653931732 @380008922589762041 seriously? your fellow citizens are starving, homeless, being denied education, and this has been going on for decades and all you want is some drama about one dude? but i'd wager if i said the same about whatever politician you fangirl over you'd throw a fit. gaf about people!""","['government_critique', 'deserving_undeserving_of_resources', 'solutions_interventions']",0.0053212898783385,0.9354004859924316,0.0592782646417617,0.3561489
9,2022-08-25 17:16:13+00:00,"""@2218312706177708255 @4350462327466321227 @2829988526119201222 @4013710302318918074 obviously rebuild riverview <span class='emoji-bytes' data-emoji-bytes='[240, 159, 153, 132]'></span>. 205 acre facility only needs 5 to 10 acres. the other 195 acres was valued at over $1 billion 10 years ago. gov could build a whole community then collect rent/tax. use income to pay for needs of homeless, mentally ill and addicted.""","['harmful_generalization', 'money_aid_resource_allocation', 'solutions_interventions']",0.1345867365598678,0.0693204328417778,0.7960928082466125,0.23739935
10,2021-12-08 08:48:36+00:00,"""@2225225765729324733 $crochetaddict81
 i crochet hats and scarves for the homeless so extra money for yarn would be fabulous""",['solutions_interventions'],0.93866366147995,0.0061755632050335,0.0551607757806777,0.16098402
